subject,phase,time,ear
dahyun,trial1,1784601256.6353192,0.36564200292641424
dahyun,trial1,1784601256.6734784,0.3657181134620003
dahyun,trial1,1784601256.7144523,0.3657644162051133
dahyun,trial1,1784601256.7541435,0.3659769911405585
dahyun,trial1,1784601256.794706,0.3662386326196504
dahyun,trial1,1784601256.8325038,0.36685458441542007
dahyun,trial1,1784601256.8718467,0.36669607265714704
dahyun,trial1,1784601256.9110923,0.36661499455906055
dahyun,trial1,1784601256.9506814,0.3662382930868967
dahyun,trial1,1784601256.9881616,0.3662612623155421
dahyun,trial1,1784601257.0276341,0.36615877607879577
dahyun,trial1,1784601257.0670776,0.36680488937351263
dahyun,trial1,1784601257.1069622,0.35257773579975304
dahyun,trial1,1784601257.1474154,0.2584964460737667
dahyun,trial1,1784601257.186528,0.14635676441942083
dahyun,trial1,1784601257.2246008,0.09700466868595246
dahyun,trial1,1784601257.2626913,0.08868301922577845
dahyun,trial1,1784601257.3005936,0.1338441121317011
dahyun,trial1,1784601257.3398435,0.22223390446722024
dahyun,trial1,1784601257.3778398,0.2881897847867052
dahyun,trial1,1784601257.4197955,0.3274462609040998
dahyun,trial1,1784601257.458599,0.3479517070010474
dahyun,trial1,1784601257.4984167,0.3585044966001838
dahyun,trial1,1784601257.5366125,0.3645310952827763
dahyun,trial1,1784601257.5759656,0.3673705539668525
dahyun,trial1,1784601257.6139514,0.3684238814958852
dahyun,trial1,1784601257.6520102,0.36813087026755176
dahyun,trial1,1784601257.6910021,0.3668108508734875
dahyun,trial1,1784601257.7301743,0.3655295064069885
dahyun,trial1,1784601257.767793,0.36477650092523706
dahyun,trial1,1784601257.8070037,0.36478903566537735
dahyun,trial1,1784601257.8448396,0.36474637881741
dahyun,trial1,1784601257.883925,0.36489569786691955
dahyun,trial1,1784601257.9219637,0.3654717410980962
dahyun,trial1,1784601257.9593039,0.36558828702114865
dahyun,trial1,1784601257.9972727,0.3661251493946045
dahyun,trial1,1784601258.0349092,0.36654637554876796
dahyun,trial1,1784601258.0728421,0.36691453025396353
dahyun,trial1,1784601258.1108928,0.36700364369856264
dahyun,trial1,1784601258.149695,0.3669757909557593
dahyun,trial1,1784601258.1869314,0.36710690907386867
dahyun,trial1,1784601258.2247357,0.36608255478013874
dahyun,trial1,1784601258.2639773,0.365490968230767
dahyun,trial1,1784601258.3019438,0.3651654963016504
dahyun,trial1,1784601258.340707,0.364380055285354
dahyun,trial1,1784601258.378475,0.3636294765852109
dahyun,trial1,1784601258.416115,0.363257600836685
dahyun,trial1,1784601258.454902,0.36293741290186243
dahyun,trial1,1784601258.4926052,0.3628178845891491
dahyun,trial1,1784601258.5320213,0.3616951186709929
dahyun,trial1,1784601258.5688903,0.36107580607164536
dahyun,trial1,1784601258.6067498,0.3604996581412895
dahyun,trial1,1784601258.645093,0.36013369978794274
dahyun,trial1,1784601258.683022,0.359972885907887
dahyun,trial1,1784601258.7218523,0.35996539205369454
dahyun,trial1,1784601258.7614126,0.36017282514212146
dahyun,trial1,1784601258.7989066,0.36030194722760667
dahyun,trial1,1784601258.8368382,0.3604965316803549
dahyun,trial1,1784601258.873694,0.3604195694300411
dahyun,trial1,1784601258.9112835,0.36059395169868647
dahyun,trial1,1784601258.9507427,0.36051311541081577
dahyun,trial1,1784601258.990057,0.3604878411811106
dahyun,trial1,1784601259.0280547,0.3607924451847061
dahyun,trial1,1784601259.0668266,0.36112035796742187
dahyun,trial1,1784601259.1063018,0.3619772507635406
dahyun,trial1,1784601259.144059,0.3627925763396248
