frame,read,detect,crop,infer,e2e_ms,output
165,0.9854,7.6365,0.5951,2.2356,11.4527,0.222933
166,0.9377,7.7711,0.5711,2.2657,11.5456,0.200289
167,0.9239,7.733,0.5714,2.2575,11.4859,0.160191
168,0.9627,7.8392,0.5676,2.2511,11.6206,0.23421
169,0.9489,7.7492,0.5588,2.2801,11.537,0.222872
170,0.9399,8.302,0.7077,2.2911,12.2408,0.127235
171,0.9218,7.7715,0.5664,2.2954,11.5552,0.201069
172,0.9707,7.781,0.5637,2.2725,11.5879,0.146569
173,0.9426,7.6419,0.5557,2.2635,11.4038,0.15392
174,0.9408,7.7618,0.5546,2.2345,11.4917,0.05471
175,0.9545,7.8105,0.5551,2.2446,11.5648,0.07829
176,1.0031,7.8542,0.5663,2.2335,11.657,0.07492
177,0.9362,7.7125,0.5838,2.232,11.4645,0.07005
178,0.9458,7.7899,0.5562,2.2592,11.5512,0.058033
179,0.9358,7.7548,0.5619,2.2513,11.5039,0.034344
180,0.9671,8.1017,0.5673,2.2668,11.9029,0.033097
181,0.9545,7.6956,0.5691,2.2285,11.4477,0.031973
182,0.9358,7.8312,0.5633,2.257,11.5873,0.037181
183,0.9312,7.789,0.5713,2.2646,11.556,0.051105
184,0.959,7.8239,0.5646,2.2538,11.6013,0.048369
185,0.9466,7.6897,0.5776,2.2359,11.4498,0.045601
186,0.9789,7.7302,0.5692,2.2375,11.5159,0.049109
187,0.9546,7.7062,0.6014,2.218,11.4803,0.046438
188,0.9569,7.8048,0.5724,2.2535,11.5876,0.060362
189,0.9412,7.7081,0.5634,2.237,11.4498,0.049898
190,0.9405,7.7715,0.5699,2.2485,11.5303,0.0547
191,0.9164,8.2403,0.5644,2.249,11.9702,0.037427
192,0.9603,7.8536,0.5637,2.2603,11.6379,0.041844
193,0.9426,7.6345,0.5627,2.2433,11.3832,0.039922
194,0.935,7.7539,0.5585,2.2702,11.5176,0.033816
195,0.9262,7.7666,0.5686,2.2382,11.4996,0.019169
196,0.9931,7.882,0.5604,2.2497,11.6852,0.011233
197,0.9898,7.685,0.5653,2.2435,11.4836,0.013962
198,0.9467,7.7627,0.5895,2.2439,11.5427,0.013673
199,0.9176,7.7627,0.5593,2.2481,11.4876,0.007706
200,0.9752,7.8573,0.5578,2.2568,11.6471,0.009505
201,0.9367,7.7068,0.5616,2.2383,11.4434,0.00885
