frame,read,detect,crop,infer,e2e_ms,output
178,0.9499,7.8701,4.4345,2.3375,15.5921,0.057975
179,0.9554,7.8502,4.4232,2.3392,15.5679,0.034259
180,0.9231,8.126,4.4012,2.3244,15.7747,0.032909
181,0.9542,7.7856,4.4036,2.3291,15.4726,0.031663
182,0.9779,7.7898,4.3992,2.3415,15.5084,0.037238
183,0.9436,7.9003,4.4135,2.3542,15.6116,0.05093
184,0.9462,7.8795,4.5133,2.3522,15.6912,0.048317
185,0.9732,7.8787,4.5238,2.2946,15.6703,0.045022
186,0.984,7.8778,4.3669,2.2885,15.5172,0.04929
187,0.9206,7.7918,4.4432,2.309,15.4646,0.045767
188,0.968,7.9037,4.5,2.3035,15.6752,0.060407
189,0.9599,7.7983,4.4055,2.3171,15.4808,0.050017
190,0.983,7.7909,4.4521,2.3346,15.5606,0.054548
191,0.9277,7.795,4.4265,2.3356,15.4848,0.036704
192,0.9461,7.8534,4.5029,2.323,15.6255,0.042169
193,0.9814,7.7714,4.437,2.343,15.5328,0.040104
194,0.9745,7.9025,4.4357,2.321,15.6336,0.032878
195,0.9224,7.7761,4.4559,2.3035,15.4579,0.019146
196,0.9783,7.8222,4.485,2.3203,15.6058,0.011285
197,1.0055,7.7431,4.4918,2.3092,15.5496,0.014001
198,1.0323,7.8112,4.448,2.3043,15.5959,0.013793
199,0.9138,7.8263,4.4215,2.3178,15.4793,0.007633
200,0.956,7.8148,4.4167,2.3241,15.5116,0.009439
201,0.9578,7.7635,4.3971,2.3279,15.4463,0.008796
202,0.9628,7.8025,4.4395,2.3401,15.5449,0.011104
203,0.8794,7.7055,4.4465,2.352,15.3834,0.008077
204,0.9402,7.889,4.5343,2.324,15.6875,0.015746
205,0.9821,7.8926,4.5174,2.316,15.7081,0.021652
206,1.0043,8.1649,4.3975,2.3159,15.8826,0.017517
207,0.9546,7.8863,4.425,2.3016,15.5675,0.007778
208,0.9617,7.796,4.5,2.3009,15.5586,0.00749
209,1.0036,7.8591,4.4067,2.3018,15.5712,0.003897
210,0.9631,7.842,4.5217,2.3204,15.6472,0.005532
211,0.9037,7.8612,4.5375,2.3277,15.6301,0.005312
212,0.9513,7.8715,4.4383,2.3335,15.5946,0.004018
213,0.9751,7.8417,4.5152,2.3537,15.6858,0.005291
214,0.9598,7.7663,4.3837,2.3562,15.466,0.004401
215,0.9339,7.8441,4.4143,2.3436,15.5359,0.004173
216,0.9596,7.8391,4.5225,2.3556,15.6768,0.004638
217,0.9778,7.8038,4.4188,2.3158,15.5163,0.004708
218,0.9993,7.8379,4.5,2.3186,15.6558,0.004603
219,0.9597,7.8637,4.5188,2.2986,15.6407,0.002958
220,1.0026,7.8442,4.4406,2.3096,15.597,0.002869
221,0.988,7.8324,4.4245,2.318,15.5628,0.003424
