subject,phase,time,ear
hanul,trial5,1784601534.9640617,0.37112690017007943
hanul,trial5,1784601535.0005088,0.3709590362758753
hanul,trial5,1784601535.0378084,0.3708221751776668
hanul,trial5,1784601535.0792031,0.37071097475073445
hanul,trial5,1784601535.1170611,0.3706212419004104
hanul,trial5,1784601535.1560605,0.37059256539924135
hanul,trial5,1784601535.1942036,0.3705709236042173
hanul,trial5,1784601535.231,0.370568934594779
hanul,trial5,1784601535.2707598,0.3705894256955049
hanul,trial5,1784601535.3077607,0.37066378893604585
hanul,trial5,1784601535.3452055,0.3707812807901356
hanul,trial5,1784601535.3829417,0.37089637461696534
hanul,trial5,1784601535.4213016,0.37088932445077505
hanul,trial5,1784601535.4607685,0.3707659609922793
hanul,trial5,1784601535.4984832,0.3705285563224389
hanul,trial5,1784601535.5350695,0.3702918407433138
hanul,trial5,1784601535.5726137,0.3699254066926382
hanul,trial5,1784601535.609835,0.36977909563696754
hanul,trial5,1784601535.6474037,0.3699273891894108
hanul,trial5,1784601535.6852033,0.3694828119615819
hanul,trial5,1784601535.7227294,0.34555058296453406
hanul,trial5,1784601535.760789,0.30445650811470776
hanul,trial5,1784601535.7981405,0.2542711058289848
hanul,trial5,1784601535.8349907,0.176202662987339
hanul,trial5,1784601535.8729646,0.11466150905834746
hanul,trial5,1784601535.9108965,0.07760355015198234
hanul,trial5,1784601535.9486177,0.055880850355910616
hanul,trial5,1784601535.9869242,0.04284763071565897
hanul,trial5,1784601536.0253289,0.03510179139916568
hanul,trial5,1784601536.063215,0.030797070740495446
hanul,trial5,1784601536.1016257,0.027941462128540963
hanul,trial5,1784601536.1379247,0.026766743235031032
hanul,trial5,1784601536.1759338,0.026357390720020173
hanul,trial5,1784601536.2126195,0.02708313987564576
hanul,trial5,1784601536.250407,0.07293611561601712
hanul,trial5,1784601536.286865,0.14266184185784186
hanul,trial5,1784601536.3247683,0.21254930812854486
hanul,trial5,1784601536.3610215,0.273495469937982
hanul,trial5,1784601536.399272,0.3121728047448349
hanul,trial5,1784601536.438647,0.33740413728642493
hanul,trial5,1784601536.477608,0.3540456103528339
hanul,trial5,1784601536.5141075,0.3644565642459235
hanul,trial5,1784601536.5518086,0.37009059711034664
hanul,trial5,1784601536.5886617,0.3731462199521123
hanul,trial5,1784601536.6264765,0.3748987064620596
hanul,trial5,1784601536.6659367,0.3758710736023032
hanul,trial5,1784601536.7036319,0.37619379737815484
hanul,trial5,1784601536.743326,0.376303379529108
hanul,trial5,1784601536.7814257,0.3762365085474285
hanul,trial5,1784601536.820011,0.3763526116379225
hanul,trial5,1784601536.857347,0.37610460887393415
hanul,trial5,1784601536.8960166,0.3758323233931962
hanul,trial5,1784601536.9336686,0.37554207329164424
hanul,trial5,1784601536.9720097,0.37529918636062853
hanul,trial5,1784601537.0101335,0.375094334991675
hanul,trial5,1784601537.0475283,0.3749159410152956
hanul,trial5,1784601537.085505,0.3747432151784418
hanul,trial5,1784601537.124011,0.37473577614912973
hanul,trial5,1784601537.1629236,0.3745583098228823
hanul,trial5,1784601537.1994758,0.374463276991018
hanul,trial5,1784601537.2367313,0.37439083222296543
hanul,trial5,1784601537.2729728,0.37422999229388226
hanul,trial5,1784601537.310912,0.3741157119832351
hanul,trial5,1784601537.3480554,0.373646753605143
hanul,trial5,1784601537.385227,0.3734157474986117
hanul,trial5,1784601537.4240553,0.37326619397696353
hanul,trial5,1784601537.462625,0.373062892292219
hanul,trial5,1784601537.5019212,0.37281385404361855
hanul,trial5,1784601537.5395432,0.3726279911978845
hanul,trial5,1784601537.5775247,0.37248993966850674
hanul,trial5,1784601537.6148875,0.371967835462733
hanul,trial5,1784601537.6515696,0.3717500180617286
hanul,trial5,1784601537.6890328,0.3707987343727599
hanul,trial5,1784601537.727739,0.3705451107085658
hanul,trial5,1784601537.7657094,0.37065357834429585
hanul,trial5,1784601537.8054316,0.37041533337634913
hanul,trial5,1784601537.844009,0.37036214289653424
hanul,trial5,1784601537.883216,0.36995818101250333
hanul,trial5,1784601537.922326,0.3694040425627074
hanul,trial5,1784601537.9589455,0.3687903320218415
hanul,trial5,1784601537.9968464,0.3686356020202778
hanul,trial5,1784601538.033098,0.36826885109850355
hanul,trial5,1784601538.0713282,0.36813500514177777
hanul,trial5,1784601538.1086428,0.3681543726516553
hanul,trial5,1784601538.1462958,0.3685872047873021
hanul,trial5,1784601538.1839345,0.36892790773072265
hanul,trial5,1784601538.223347,0.3693240869480712
hanul,trial5,1784601538.2604103,0.3696957804787309
hanul,trial5,1784601538.2978604,0.36979560282844737
hanul,trial5,1784601538.3350468,0.3699875520383259
